Symbol,Company_Name,Industry
AKZOINDIA.NS,Akzo Nobel India Limited,Paints
RAINBOW.NS,Rainbow Childrens Medicare Limited,Hospital
PCBL.NS,PCBL Chemical Limited,Carbon Black
INOXINDIA.NS,INOX India Limited,Other Industrial Products
GLAND.NS,Gland Pharma Limited,Pharmaceuticals
NTPCGREEN.NS,NTPC Green Energy Limited,Power Generation
VIJAYA.NS,Vijaya Diagnostic Centre Limited,Healthcare Service Provider
TRITURBINE.NS,Triveni Turbine Limited,Heavy Electrical Equipment
SHYAMMETL.NS,Shyam Metalics and Energy Limited,Iron & Steel Products
GODREJIND.NS,Godrej Industries Limited,Diversified
PVRINOX.NS,PVR INOX Limited,Film Production Distribution & Exhibition
CAPLIPOINT.NS,Caplin Point Laboratories Limited,Pharmaceuticals
EMCURE.NS,Emcure Pharmaceuticals Limited,Pharmaceuticals
WHIRLPOOL.NS,Whirlpool of India Limited,Household Appliances
3MINDIA.NS,3M India Limited,Diversified
DALBHARAT.NS,Dalmia Bharat Limited,Cement & Cement Products
IPCALAB.NS,IPCA Laboratories Limited,Pharmaceuticals
ERIS.NS,Eris Lifesciences Limited,Pharmaceuticals
PFIZER.NS,Pfizer Limited,Pharmaceuticals
TIMKEN.NS,Timken India Limited,Abrasives & Bearings
TATAELXSI.NS,Tata Elxsi Limited,Computers - Software & Consulting
JUBLINGREA.NS,Jubilant Ingrevia Limited,Specialty Chemicals
MOTILALOFS.NS,Motilal Oswal Financial Services Limited,Stockbroking & Allied
INDUSTOWER.NS,Indus Towers Limited,Telecom - Infrastructure
IIFL.NS,IIFL Finance Limited,Non Banking Financial Company (NBFC)
INTELLECT.NS,Intellect Design Arena Limited,Computers - Software & Consulting
UPL.NS,UPL Limited,Pesticides & Agrochemicals
SIGNATURE.NS,Signatureglobal (India) Limited,Residential Commercial Projects
EIHOTEL.NS,EIH Limited,Hotels & Resorts
CONCOR.NS,Container Corporation of India Limited,Logistics Solution Provider
UBL.NS,United Breweries Limited,Breweries & Distilleries
GLAXO.NS,GlaxoSmithKline Pharmaceuticals Limited,Pharmaceuticals
AARTIIND.NS,Aarti Industries Limited,Specialty Chemicals
YESBANK.NS,Yes Bank Limited,Private Sector Bank
RBLBANK.NS,RBL Bank Limited,Private Sector Bank
IDFCFIRSTB.NS,IDFC First Bank Limited,Private Sector Bank
EIDPARRY.NS,EID Parry India Limited,Other Food Products
CUMMINSIND.NS,Cummins India Limited,Compressors Pumps & Diesel Engines
LAURUSLABS.NS,Laurus Labs Limited,Pharmaceuticals
NATCOPHARM.NS,Natco Pharma Limited,Pharmaceuticals
ITCHOTELS.NS,ITC Hotels Limited,Hotels & Resorts
BERGEPAINT.NS,Berger Paints (I) Limited,Paints
ABCAPITAL.NS,Aditya Birla Capital Limited,Investment Company
ALOKINDS.NS,Alok Industries Limited,Other Textile Products
GODIGIT.NS,Go Digit General Insurance Limited,General Insurance
PATANJALI.NS,Patanjali Foods Limited,Edible Oil
DEEPAKNTR.NS,Deepak Nitrite Limited,Specialty Chemicals
AEGISVOPAK.NS,Aegis Vopak Terminals Limited,Oil Storage & Transportation
GUJGASLTD.NS,Gujarat Gas Limited,LPG/CNG/PNG/LNG Supplier
BLUESTARCO.NS,Blue Star Limited,Household Appliances
GSPL.NS,Gujarat State Petronet Limited,Gas Transmission/Marketing
CUB.NS,City Union Bank Limited,Private Sector Bank
BHEL.NS,Bharat Heavy Electricals Limited,Heavy Electrical Equipment
VOLTAS.NS,Voltas Limited,Household Appliances
IRB.NS,IRB Infrastructure Developers Limited,Civil Construction
CRAFTSMAN.NS,Craftsman Automation Limited,Auto Components & Equipments
SUMICHEM.NS,Sumitomo Chemical India Limited,Pesticides & Agrochemicals
ASTRAL.NS,Astral Limited,Plastic Products - Industrial
CROMPTON.NS,Crompton Greaves Consumer Electricals Limited,Household Appliances
KPRMILL.NS,K.P.R. Mill Limited,Other Textile Products
AMBER.NS,Amber Enterprises India Limited,Household Appliances
SRF.NS,SRF Limited,Specialty Chemicals
PREMIERENE.NS,Premier Energies Limited,Other Electrical Equipment
INDGN.NS,Indegene Limited,Healthcare Research Analytics & Technology
UNOMINDA.NS,UNO Minda Limited,Auto Components & Equipments
FIRSTCRY.NS,Brainbees Solutions Limited,E-Retail/ E-Commerce
UCOBANK.NS,UCO Bank,Public Sector Bank
RITES.NS,RITES Limited,Civil Construction
KSB.NS,Ksb Limited,Compressors Pumps & Diesel Engines
NEULANDLAB.NS,Neuland Laboratories Limited,Pharmaceuticals
BATAINDIA.NS,Bata India Limited,Footwear
CASTROLIND.NS,Castrol India Limited,Lubricants
IRCTC.NS,Indian Railway Catering And Tourism Corporation Limited,Tour Travel Related Services
BAYERCROP.NS,Bayer Cropscience Limited,Pesticides & Agrochemicals
RPOWER.NS,Reliance Power Limited,Power Generation
CLEAN.NS,Clean Science and Technology Limited,Specialty Chemicals
TTML.NS,Tata Teleservices (Maharashtra) Limited,Telecom - Cellular & Fixed line services
IDEA.NS,Vodafone Idea Limited,Telecom - Cellular & Fixed line services
NAM-INDIA.NS,Nippon Life India Asset Management Limited,Asset Management Company
KIRLOSENG.NS,Kirloskar Oil Engines Limited,Compressors Pumps & Diesel Engines
RKFORGE.NS,Ramkrishna Forgings Limited,Auto Components & Equipments
JBCHEPHARM.NS,JB Chemicals & Pharmaceuticals Limited,Pharmaceuticals
SJVN.NS,SJVN Limited,Power Generation
SONACOMS.NS,Sona BLW Precision Forgings Limited,Auto Components & Equipments
ASHOKLEY.NS,Ashok Leyland Limited,Commercial Vehicles
LTF.NS,L&T Finance Limited,Investment Company
PPLPHARMA.NS,Piramal Pharma Limited,Pharmaceuticals
JWL.NS,Jupiter Wagons Limited,Railway Wagons
AWL.NS,AWL Agri Business Limited,Edible Oil
PERSISTENT.NS,Persistent Systems Limited,Computers - Software & Consulting
MSUMI.NS,Motherson Sumi Wiring India Limited,Auto Components & Equipments
GESHIP.NS,The Great Eastern Shipping Company Limited,Shipping
EMAMILTD.NS,Emami Limited,Personal Care
APOLLOTYRE.NS,Apollo Tyres Limited,Tyres & Rubber Products
NUVAMA.NS,Nuvama Wealth Management Limited,Stockbroking & Allied
TATAINVEST.NS,Tata Investment Corporation Limited,Investment Company
CONCORDBIO.NS,Concord Biotech Limited,Pharmaceuticals
APARINDS.NS,Apar Industries Limited,Other Electrical Equipment
AJANTPHARM.NS,Ajanta Pharma Limited,Pharmaceuticals
VENTIVE.NS,Ventive Hospitality Limited,Hotels & Resorts
SBFC.NS,SBFC Finance Limited,Non Banking Financial Company (NBFC)
WOCKPHARMA.NS,Wockhardt Limited,Pharmaceuticals
HINDPETRO.NS,Hindustan Petroleum Corporation Limited,Refineries & Marketing
TATACHEM.NS,Tata Chemicals Limited,Commodity Chemicals
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Asset Management Company
ENGINERSIN.NS,Engineers India Limited,Civil Construction
HONAUT.NS,Honeywell Automation India Limited,Industrial Products
BIKAJI.NS,Bikaji Foods International Limited,Packaged Foods
SKFINDIA.NS,SKF India Limited,Auto Components & Equipments
ANANTRAJ.NS,Anant Raj Limited,Residential Commercial Projects
ACC.NS,ACC Limited,Cement & Cement Products
GRANULES.NS,Granules India Limited,Pharmaceuticals
MGL.NS,Mahanagar Gas Limited,LPG/CNG/PNG/LNG Supplier
SAILIFE.NS,Sai Life Sciences Limited,Pharmaceuticals
PHOENIXLTD.NS,The Phoenix Mills Limited,Residential Commercial Projects
FORTIS.NS,Fortis Healthcare Limited,Hospital
FINCABLES.NS,Finolex Cables Limited,Cables - Electricals
RCF.NS,Rashtriya Chemicals and Fertilizers Limited,Fertilizers
ICICIPRULI.NS,ICICI Prudential Life Insurance Company Limited,Life Insurance
TEJASNET.NS,Tejas Networks Limited,Telecom - Equipment & Accessories
HSCL.NS,Himadri Speciality Chemical Limited,Carbon Black
PAYTM.NS,One 97 Communications Limited,Financial Technology (Fintech)
USHAMART.NS,Usha Martin Limited,Iron & Steel Products
BSE.NS,BSE Limited,Exchange and Data Platform
BANDHANBNK.NS,Bandhan Bank Limited,Private Sector Bank
TATATECH.NS,Tata Technologies Limited,IT Enabled Services
CRISIL.NS,CRISIL Limited,Other Financial Services
PGHH.NS,Procter & Gamble Hygiene and Health Care Limited,Personal Care
M&MFIN.NS,Mahindra & Mahindra Financial Services Limited,Non Banking Financial Company (NBFC)
VGUARD.NS,V-Guard Industries Limited,Household Appliances
LICHSGFIN.NS,LIC Housing Finance Limited,Housing Finance Company
HOMEFIRST.NS,Home First Finance Company India Limited,Housing Finance Company
JKTYRE.NS,JK Tyre & Industries Limited,Tyres & Rubber Products
UNIONBANK.NS,Union Bank of India,Public Sector Bank
ARE&M.NS,Amara Raja Energy & Mobility Limited,Auto Components & Equipments
COCHINSHIP.NS,Cochin Shipyard Limited,Ship Building & Allied Services
IGL.NS,Indraprastha Gas Limited,LPG/CNG/PNG/LNG Supplier
MUTHOOTFIN.NS,Muthoot Finance Limited,Non Banking Financial Company (NBFC)
BANKINDIA.NS,Bank of India,Public Sector Bank
CENTRALBK.NS,Central Bank of India,Public Sector Bank
IOB.NS,Indian Overseas Bank,Public Sector Bank
KALYANKJIL.NS,Kalyan Jewellers India Limited,Gems Jewellery And Watches
HEXT.NS,Hexaware Technologies Limited,Computers - Software & Consulting
KAYNES.NS,Kaynes Technology India Limited,Industrial Products
PRESTIGE.NS,Prestige Estates Projects Limited,Residential Commercial Projects
